,Tier,Name,Domain,Domain Authority,Type,Vertical,Deep-Optimize
General Directory,1,Google Business Profile,business.google.com,100,General Directory,all,Y
General Directory,1,Apple Business Connect,businessconnect.apple.com,99,General Directory,all,Y
General Directory,1,LinkedIn,linkedin.com,99,General Directory,all,Y
General Directory,1,Facebook,facebook.com,94,General Directory,all,Y
Niche Directory,1,WebMD,webmd.com,94,Niche Directory,healthcare,
General Directory,1,Yelp,yelp.com,93,General Directory,all,Y
Niche Directory,1,TripAdvisor,tripadvisor.com,93,Niche Directory,hospitality,
General Directory,1,Instagram,instagram.com,93,General Directory,all,Y
General Directory,1,Bing Maps,bing.com,93,General Directory,all,Y
Niche Directory,1,LII (Legal Information Institute),law.cornell.edu,93,Niche Directory,legal,
General Directory,1,Trustpilot,trustpilot.com,92,General Directory,all,Y
General Directory,1,Waze,waze.com,92,General Directory,all,
General Directory,1,Foursquare,foursquare.com,91,General Directory,all,Y
General Directory,1,BBB (Better Business Bureaus),bbb.org,91,General Directory,all,Y
General Directory,1,Patch,patch.com,90,General Directory,all,
Niche Directory,1,Justia,justia.com,90,Niche Directory,legal,
Niche Directory,,Houzz,houzz.com,89,Niche Directory,home_services,
Niche Directory,,Zillow,zillow.com,89,Niche Directory,real_estate,
General Directory,,OpenStreetMap,openstreetmap.org,89,General Directory,all,
Niche Directory,,FindLaw,findlaw.com,88,Niche Directory,legal,
General Directory,,Here,here.com,86,General Directory,all,
General Directory,,Nextdoor,nextdoor.com,83,General Directory,all,Y
Niche Directory,,Hostelworld,hostelworld.com,83,Niche Directory,hospitality,
General Directory,,TomTom,tomtom.com,81,General Directory,all,
General Directory,,Manta,manta.com,80,General Directory,all,
Niche,,HomeAdvisor,homeadvisor.com,78,Niche,home_services,
Niche Directory,,Care,care.com,77,Niche Directory,childcare,
Niche Directory,,RateBeer,ratebeer.com,76,Niche Directory,food_beverage,
Niche,,Angi,angi.com,76,Niche,home_services,
General Directory,,Merchant Circle,merchantcircle.com,76,General Directory,all,
Niche Directory,,Archinect,archinect.com,76,Niche Directory,architecture,
Niche Directory,,Porch,porch.com,76,Niche Directory,home_services,
Niche,,Thumbtack,thumbtack.com,76,Niche,home_services,
General Directory,,Apsense,apsense.com,75,General Directory,all,
General Directory,,ZoomInfo,zoominfo.com,75,General Directory,all,
General Directory,,Just Landed,justlanded.com,74,General Directory,all,
Niche Directory,,Avvo,avvo.com,74,Niche Directory,legal,
General Directory,,Bark,bark.com,73,General Directory,all,
Niche Directory,,Insurance Journal,insurancejournal.com,73,Niche Directory,insurance,
Niche Directory,,US Legal,uslegal.com,72,Niche Directory,legal,
Niche Directory,,WeddingWire,weddingwire.com,72,Niche Directory,weddings,
Niche Directory,,Best Plumbers,bestplumbers.com,70,Niche Directory,home_services,
Niche Directory,,HappyCow,happycow.net,70,Niche Directory,food_beverage,
General Directory,,BatchGeo,batchgeo.com,70,General Directory,all,
General Directory,,Company,company.com,70,General Directory,all,
General Directory,,Kompass,kompass.com,69,General Directory,all,
Niche Directory,,Healthgrades,healthgrades.com,69,Niche Directory,healthcare,
General Directory,,Ailoq,ailoq.com,68,General Directory,all,
Niche Directory,,HG.org,hg.org,66,Niche Directory,legal,
General Directory,,WhoDoYou,whodoyou.com,46,General Directory,all,
