,Tier,Name,Domain,Profile Example,Profile Submission Link,TF,Traffic,Link Type,Free/Paid,Price,"Month/
Year",Notes,"Multiple/Single 
Profile"
General,1,Yelp,yelp.com,https://www.yelp.com/biz/john-foy-and-associates-albany,https://biz.yelp.com/claim,75,"23,000,000",Nofollow,Free + Paid,,,"We have to claim profile if its already exists

If it does not exist then have to create one with this link:

https://biz.yelp.com/claim
The administrator will review the profile and then approve it.",Single
General,1,Apple Maps,https://maps.apple.com/place,https://maps.apple.com/place?place-id=I7BD190E1C240F5AB&address=100+Biscayne+Blvd%2C+Ste+913%2C+Miami%2C+FL++33132%2C+United+States&coordinate=25.7755953%2C-80.1881238&name=Amanda+Demanda+Injury+Lawyers+-+Downtown+Miami&_provider=9902,https://businessconnect.apple.com/,45,,Dofollow,Free,,,How to submit tutorial https://www.youtube.com/watch?v=Qio1E7FW6ek,
General,1,Expertise,expertise.com,https://www.expertise.com/legal/car-accident-lawyers/alabama/auburn,https://www.expertise.com/review-me,45,"60,000",Dofollow,Free,,,"We have to claim profile if its already exists
If it does not exist then have to create one with this link:
https://www.expertise.com/review-me
The administrator will review the profile and then approve it.
You don't get an individual profile page.",
General,,Free Listings USA,freelistingusa.com,https://www.freelistingusa.com/listings/kindtyme-digital-creative-agency,https://www.freelistingusa.com/pre-register,19,2500,Nofollow,Free,,,,
General,,Better Business Bureau,bbb.org,https://www.bbb.org/us/ga/albany/profile/lawyers/kenneth-s-nugent-pc-attorney-at-law-0743-104571,https://www.bbb.org/get-listed,82,"6,200,000",Nofollow,,,,,
General,,Proven Expert,provenexpert.com,https://www.provenexpert.com/en-us/kenneth-s-nugent-p-c/,https://www.provenexpert.com/en-us/register/,58,"90,600",Dofollow,Free,,,,
General,,Three Best Rated,threebestrated.com,https://threebestrated.com/personal-injury-lawyers-in-columbus-ga,https://threebestrated.com/submit-business?reason=new,40,"2,600",Dofollow,Free,,,selection based,
General,,Wheree,wheree.com,https://jamie-casino-injury-attorneys-augusta-personal-injury-lawyer-1.wheree.com/,https://www.wheree.com/register,20,"2,600,000",Citation,Free,,,,
General,,Patch,patch.com,https://patch.com/georgia/savannah/business/listing/439473/jamie-casino-injury-attorneys,https://patch.com/us/across-america/advertise-with-us,47,"1,000,000",Dofollow,Paid,,,Need to speak with rep for price,
General,1,Super Pages,superpages.com,https://www.superpages.com/savannah-ga/bpp/jamie-casino-injury-attorneys-538375105,https://accounts.yellowpages.com/register,72,"17,000",Nofollow,Free,,,,
General,1,Chamber of Commerce,chamberofcommerce.com,https://www.chamberofcommerce.com/business-directory/georgia/savannah/personal-injury-attorney/1340784885-jamie-casino-injury-attorneys,https://www.chamberofcommerce.com/members/add-business,32,"15,000",Nofollow,Free,,,,
General,,Trust Analytica,trustanalytica.org,https://trustanalytica.org/us/ga/augusta/reviews/jamie-casino-injury-attorneys-1690891861,https://app.trustanalytica.com/authreg/signup,26,"18,000",Nofollow,Free + Paid,$13,Month,,
Legal,1,FindLaw,findlaw.com,https://lawyers.findlaw.comprofile/lawyer/christopher-allen/mo/clayton/MTAyODU0NF8x/PP,https://pu.findlaw.com/welcome,68,"1,400,000",Nofollow,Free,,,"We have to claim profile if its already exists
If it does not exist then have to create one with this link: https://pu.findlaw.com/welcome
The administrator will review the profile and then approve it.
",
